OccurenceID,EventDate,scientificName,vernacularName,individualCount,DecimalLatitude,DecimalLongitude,app_used,collectionID,occurenceStatus,basisOfRecord,scientificNameID,footprintWKT
27838,2016-03-20 22:39:47+00:00,Delphinus capensis,Common Long-Beaked Dolphin,15,34.3961,-119.624915,spotter_pro,5872,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.624915 34.3961)
27839,2016-03-20 23:31:46+00:00,Megaptera novaeangliae,Humpback Whale,8,34.322659,-119.527783,spotter_pro,5872,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.527783 34.322659)
27840,2016-03-21 00:00:56+00:00,Eschrichtius robustus,Gray Whale,1,34.32253,-119.536933,spotter_pro,5872,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.536933 34.32253)
27841,2016-03-21 00:23:31+00:00,Megaptera novaeangliae,Humpback Whale,6,34.182171,-119.397565,spotter_pro,5873,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.397565 34.182171)
27847,2016-03-16 22:49:46+00:00,Megaptera novaeangliae,Humpback Whale,4,34.055758,-119.642492,spotter_pro,5875,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.642492 34.055758)
27848,2016-03-16 21:26:43+00:00,Megaptera novaeangliae,Humpback Whale,3,34.203198,-119.3863,spotter_pro,5875,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.3863 34.203198)
27861,2016-03-23 17:07:15+00:00,Eschrichtius robustus,Gray Whale,4,34.11452,-119.319897,spotter_pro,5879,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.319897 34.11452)
27862,2016-03-23 22:26:18+00:00,Eschrichtius robustus,Gray Whale,1,34.387015,-119.72695,spotter_pro,5880,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.72695 34.387015)
27863,2016-03-23 23:17:52+00:00,Eschrichtius robustus,Gray Whale,5,34.385604,-119.696729,spotter_pro,5880,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.696729 34.385604)
27866,2016-03-24 19:24:02+00:00,Megaptera novaeangliae,Humpback Whale,4,34.375614,-119.688601,spotter_pro,5883,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.688601 34.375614)
27867,2016-03-24 20:22:25+00:00,Delphinus delphis,Common Short-Beaked Dolphin,125,34.36941,-119.686141,spotter_pro,5883,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137094,POINT (-119.686141 34.36941)
27868,2016-03-24 20:13:39+00:00,Megaptera novaeangliae,Humpback Whale,2,34.369467,-119.685481,spotter_pro,5883,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.685481 34.369467)
27869,2016-03-24 19:59:29+00:00,Delphinus delphis,Common Short-Beaked Dolphin,40,34.386705,-119.68771,spotter_pro,5883,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137094,POINT (-119.68771 34.386705)
27870,2016-03-24 20:39:37+00:00,Lagenorhynchus obliquidens,Pacific White-Sided Dolphin,65,34.372477,-119.68642,spotter_pro,5883,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:254981,POINT (-119.68642 34.372477)
27871,2016-03-24 20:16:18+00:00,Megaptera novaeangliae,Humpback Whale,3,34.369317,-119.685626,spotter_pro,5883,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.685626 34.369317)
27872,2016-03-24 20:00:32+00:00,Delphinus delphis,Common Short-Beaked Dolphin,60,34.386676,-119.687401,spotter_pro,5883,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137094,POINT (-119.687401 34.386676)
27873,2016-03-24 22:26:58+00:00,Megaptera novaeangliae,Humpback Whale,6,34.370234,-119.675751,spotter_pro,5884,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.675751 34.370234)
27874,2016-03-24 23:23:58+00:00,Lagenorhynchus obliquidens,Pacific White-Sided Dolphin,55,34.370797,-119.669756,spotter_pro,5884,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:254981,POINT (-119.669756 34.370797)
27875,2016-03-24 22:36:05+00:00,Delphinus delphis,Common Short-Beaked Dolphin,65,34.371755,-119.673949,spotter_pro,5884,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137094,POINT (-119.673949 34.371755)
27876,2016-03-24 22:59:53+00:00,Megaptera novaeangliae,Humpback Whale,3,34.370424,-119.672785,spotter_pro,5884,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.672785 34.370424)
27877,2016-03-13 18:32:50+00:00,Delphinus capensis,Common Long-Beaked Dolphin,850,33.981829,-119.324825,spotter_pro,5885,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.324825 33.981829)
