OccurenceID,EventDate,scientificName,vernacularName,individualCount,DecimalLatitude,DecimalLongitude,app_used,collectionID,occurenceStatus,basisOfRecord,scientificNameID,footprintWKT,geom,in_ocean,PK_UID,featurecla,scalerank,min_zoom,geom:1,in_channel
27538,2016-03-03 20:45:42+00:00,Eschrichtius robustus,Gray Whale,1,34.380393,-119.718492,spotter_pro,5760,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.718492 34.380393),,1,1,Ocean,0,0,,1
27537,2016-03-03 21:10:25+00:00,Eschrichtius robustus,Gray Whale,3,34.362855,-119.728919,spotter_pro,5760,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.728919 34.362855),,1,1,Ocean,0,0,,1
27535,2016-03-03 21:33:43+00:00,Eschrichtius robustus,Gray Whale,3,34.32264,-119.651941,spotter_pro,5760,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.651941 34.32264),,1,1,Ocean,0,0,,1
27521,2016-03-03 22:05:02+00:00,Eschrichtius robustus,Gray Whale,3,34.214307,-119.395602,spotter_pro,5758,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.395602 34.214307),,1,1,Ocean,0,0,,1
27536,2016-03-03 22:20:45+00:00,Delphinus capensis,Common Long-Beaked Dolphin,30,34.374657,-119.654706,spotter_pro,5760,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.654706 34.374657),,1,1,Ocean,0,0,,1
27526,2016-03-03 22:24:39+00:00,Eschrichtius robustus,Gray Whale,2,34.233499,-119.423577,spotter_pro,5758,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.423577 34.233499),,1,1,Ocean,0,0,,1
27519,2016-03-03 22:59:01+00:00,Eschrichtius robustus,Gray Whale,2,34.218419,-119.46875,spotter_pro,5758,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.46875 34.218419),,1,1,Ocean,0,0,,1
27520,2016-03-03 23:37:35+00:00,Eschrichtius robustus,Gray Whale,2,34.267667,-119.564779,spotter_pro,5758,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.564779 34.267667),,1,1,Ocean,0,0,,1
27525,2016-03-04 00:12:42+00:00,Megaptera novaeangliae,Humpback Whale,3,34.300612,-119.507999,spotter_pro,5758,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.507999 34.300612),,1,1,Ocean,0,0,,1
27522,2016-03-04 00:40:17+00:00,Delphinus capensis,Common Long-Beaked Dolphin,200,34.291586,-119.485405,spotter_pro,5758,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.485405 34.291586),,1,1,Ocean,0,0,,1
